카드명,카드회사,혜택1,혜택2,혜택3
American Express® Green Card Edition2,현대카드,바우처 연간 12만원,전 세계 공항라운지 연 5회,멤버십리워즈(MR) 최대 2MR
하나 스카이패스 아멕스 플래티늄 카드,하나카드,"국내 이용금액 1,000원 당 1마일리지","해외 이용금액 1,000원 당 2마일리지",인천공항 라운지 무료서비스
삼성 iD GLOBAL 카드,삼성카드,해외 이용 2%,공항라운지 연 2회,디지털콘텐츠 50%
IBK포인트(신용),IBK기업은행,국내외가맹점 최대 3.3%,,
신한카드 The BEST-F,신한카드,캐시백형 1%,"대한항공형 1,500원/1마일",기프트옵션 1회/연
디지로카 London,롯데카드,국내·해외 최대 0.7%,즉시결제 최대 1%,추가수수료없이 나누어
American Express Blue,삼성카드,해외 5%,교통·통신 5%,편의점·배달앱 7%
카드의정석 EVERY DISCOUNT,우리카드,국내외 가맹점 0.8%,국내 온라인 간편결제 2%,
굿데이올림카드,KB국민카드,주유 60원/L,통신요금 10%,대형마트 10%
현대카드 MX Black Edition2,현대카드,국내외 가맹점 1%,공항라운지 무료,
아시아나 신한카드 Air 1.5,신한카드,"1,000원당 1.5마일","1,000원당 3마일",국내 공항라운지
American Express® Gold Card Edition2,현대카드,바우처 연간 25만원,전 세계 공항라운지 연 10회,멤버십리워즈(MR) 최대 3MR
BC 바로 On&Off 카드,BC 바로카드,간편결제·온라인 10%,대중교통·택시 10%,해외가맹점 10%
BLISS.5 카드(마일리지),IBK기업은행,"1,500원당 1마일",바우처 최대 10만원,영화 2천원
LOCA LIKIT Eat,롯데카드,음식점 60%,배달앱 60%,커피 60%
다담카드,KB국민카드,교통/통신 10%,주유소/충전소 60원/L,생활/교육/쇼핑 등 적립팩
올바른 NEW HAVE카드,NH농협카드,국내외가맹점 0.7%,이용금액 1위 3배,공항라운지 무료
삼성 iD ALL 카드,삼성카드,많이 쓰는 영역 자동 맞춤 5%,주유/이동통신/아파트관리비 2.5%,국내외가맹점 0.5%
K-패스 신한카드,신한카드,대중교통 10%,간편결제 5%,생활 부문 5%
CLUB SK 카드,하나카드,"SK텔레콤 요금 최대 15,000원",SK주유소 최대 150원/L,마트/학원 5~10%
카드의정석 SHOPPING+,우리카드,온라인 쇼핑 10%,백화점・대형할인점・슈퍼마켓 등 10%,
신한카드 RPM+ Platinum#,신한카드,모든주유소 40~150P/L,모든충전소 10~50P/L,모든가맹점 0.2~2%
대한항공카드 300,현대카드,연간 보너스 1만,"1,000원당 최대 3마일리지",직판 항공권 10만원
zgm.the pay카드,NH농협카드,국내 전 가맹점 1.0%,해외 전 가맹점 1.0%,온라인 간편결제 최대 1.7%
LOCA Professional,롯데카드,국내・해외 1%,즉시결제 추가 1%,
원더카드 (원더 Life),하나카드,넷플릭스・디즈니플러스 등 40%,아파트관리비・전기세・가스비 10%,대중교통 10%
현대카드Z family Edition2,현대카드,온라인쇼핑 10%,병원/약국 10%,생활요금 10%
신한카드 Point Plan,신한카드,국내 가맹점 최대 3%,주말 외식비 1천 포인트,도시가스/전기요금 1천 포인트
The Easy카드,KB국민카드,전 가맹점 0.7%,적립형선택시 3%,할인형선택시 5%
삼성 iD ON 카드,삼성카드,많이쓰는 영역 자동맞춤 30%,교통/이동통신/스트리밍 10%,온라인간편결제/해외 3%·1%
신한카드 Air One,신한카드,"국내/해외 1,000원당 1마일",항공/면세 2배,해외 2배
taptap DIGITAL,삼성카드,온라인간편결제 5%,스트리밍 50%,편의점 10%
ALL 우리카드 Infinite,우리카드,"ALL 리워드 포인트 14,000",아코르플러스 유료 멤버십 자동가입,"3,000원 당 최대 5 ALL 리워드 포인트"
BeV V카드(스카이패스형),KB국민카드,쿠폰 서비스 연 1회,주중 월~목 1.2~1.5M,주말 금~일 1.5~3M
가온올림카드(실속형),KB국민카드,국내가맹점 0.7%,주말/공휴일 0.5%,음식·교통 0.5%
BC 바로 MACAO 카드,BC 바로카드,모든 주유소 최대 10%,장보기 최대 10%,해외 전 가맹점 2%
GOAT BC 바로카드,BC 바로카드,국내 가맹점 최대 1.5%,국외 가맹점 최대 3%,연간사용액 3천만원 이상 시 10%
신한카드 처음,신한카드,음식점·카페·편의점·온라인쇼핑 5%,생활·여행·패션 5%,정기결제 최대 20%
I-Mileage (대한항공),IBK기업은행,국내・해외 가맹점 1마일리지,공항 라운지 무료 이용,스타벅스 4천원
현대카드ZERO Edition3(포인트형),현대카드,국내외 가맹점 1.2%,,
THE iD. PLATINUM(포인트),삼성카드,기프트 서비스 15만원 상당,국내 가맹점 1%,특별 가맹점 1.5%
BC 바로 에어 플러스 스카이패스,BC 바로카드,1천원당 1마일리지,1백만원당 200마일리지,
JADE Prime,하나카드,바우처 20만원 상당,"전 세계 공항라운지 연 6회, 일 3회",국내 전 가맹점 최대 1.5%
the Green Edition3,현대카드,국내외 가맹점 1.5%,"여행, 해외 영역 5%",공항 라운지 연간 5회
SKYPASS 롯데 아멕스카드,롯데카드,"1,000원당 국내 1마일","1,000원당 해외 2마일",SKYPASS 회원 할인
K-패스 (신용),IBK기업은행,대중교통 최대 300원,주유 40원/L,통신 3%
네이버페이 taptap,삼성카드,네이버페이 10%,커피전문점 5%,전가맹점 0.5%
국민행복 삼성카드 V2,삼성카드,쇼핑 7%,보육 7%,생활요금 7%
Oil & Life카드(Oil카드),IBK기업은행,GS칼텍스(LPG포함) 120원/L,"CGV, 롯데시네마 2,000원",주요 놀이공원 50%
쿠팡 와우 카드,KB국민카드,쿠팡 2%,국내·외 가맹점 0.2%,
삼성 iD ENERGY 카드,삼성카드,주유 1만원,스타벅스 드라이브 스루 30%,고속도로 통행료 10%
the Pink Edition2,현대카드,국내외 가맹점 1.5%,프리미엄쇼핑 영역 5%,공항 라운지 연간 5회
트래블월렛 우리카드,우리카드,트래블 포인트 최대 2.0%,해외 이용 수수료 면제,
THE iD. TITANIUM(포인트),삼성카드,기프트 서비스 매년 2가지,국내 가맹점 1.2%,특별 가맹점 1.5%
청춘대로 톡톡카드,KB국민카드,스타벅스 50%,버거/패스트푸드 20%,간편결제Pay 10%
HERITAGE Smart [대한항공 마일리지형],KB국민카드,할인 쿠폰 3가지,국내외가맹점 1천원당 1~2마일리지,KB Pay 2천원당 1마일리지
the Red (항공 마일리지형),현대카드,"1,500원당 1 대한항공 마일리지",연 1회 30만원 상당,공항 라운지 연간 10회
현대백화점카드,현대백화점,현대백화점 5%,현대백화점 2시간 무료,3개월 무이자
디지로카 Auto,롯데카드,리터당 최대 150원,국내 가맹점 2~3개월,
현대카드 MM,현대카드,국내외 가맹점 1.5%,온라인쇼핑몰・일반음식점 10%,해외 가맹점 10%
모니모카드,삼성카드,스타벅스 50%,온라인쇼핑몰 7%,이동통신요금 10%
현대카드Z work Edition2,현대카드,카페 10%,온라인 쇼핑 10%,대중교통 10%
IBK무민카드(신용),IBK기업은행,주요 커피전문점 20%,"쿠팡, 티몬, 위메프 20%",편의점 10%
신세계이마트 삼성카드7,삼성카드,신세계백화점 5%,"이마트 6,000원",국내가맹점 0.5~3%
zgm.일본여행중 카드,NH농협카드,해외 결제 해외서비스,일본 오프라인 전매장 10%,공항라운지 무료
디지로카 Paris,롯데카드,국내·해외 0.7%,온라인 쇼핑 최대 5%,
zgm.휴가중카드,NH농협카드,해외가맹점 최대 5%,여행 20%,"항공권, 면세점 0.5%"
올바른 MYPICK 카드,NH농협카드,전세계음식점(푸드팩) 5%,쇼핑(쇼핑팩) 5%,주유소/충전소(트레블팩) 5%
신한카드 Deep On Platinum+,신한카드,국내 온라인 10%,4대 편의점 20%,항공권 10%
디지로카 Las Vegas,롯데카드,국내외 모든 가맹점 최대 2%,국내 가맹점 2~3개월,
별다줄카드,NH농협카드,쇼핑 최대 14%,통신 5%,커피 5%
신한카드 The CLASSIC+,신한카드,"1,500원당 1마일","1,000원당 1마일",PP카드 무료
K-22(Mileage),IBK기업은행,"1,500원 당 최대 2마일리지",바우처 15만원 상당,공항라운지 연 4회
하나 CLUB H 아메리칸 익스프레스 리저브 카드,하나카드,"국내 1,000원당 1마일리지","해외 1,000원당 2마일리지",인천공항 라운지 무료
LOCA LIKIT Play,롯데카드,주유소 60%,영화 60%,구독서비스 60%
BC 바로 리워드 플러스,BC 바로카드,영화/구독서비스 30%,쇼핑 5%,주유소/핸드폰요금 5%
티머니 Pay & GO 신한카드,신한카드,"버스, 지하철 30%","고속버스, 택시 20%",이동통신요금 5%
신한카드 Point Plan+,신한카드,국내 결제금액 최대 3%,주말 외식비 1천 포인트,OTT 최대 2천 포인트
삼성 iD VITA 카드,삼성카드,의료 20%,보험 10%,헬스/뷰티 20%
zgm.play카드,NH농협카드,"영화 5,000원",커피 30%,패스트푸드 20%
트래블로그 신용카드,하나카드,국내외가맹점 1%,해외 가맹점 3%,항공/면세점/여행 3%
대한항공카드 120,현대카드,연간 보너스 6천,"1,000원당 최대 2마일리지",직판 항공권 5만원
Easy pick 티타늄 카드,KB국민카드,피트니스 5%,학원 5%,골프 5%
원더카드 FREE,하나카드,국내외가맹점 0.7%,간편결제 1.2%,쿠팡/마트/베이커리 2%
JADE First Centum,하나카드,바우처 60만원 상당,"전 세계 공항라운지 연 10회, 일 3회",국내 전 가맹점 최대 1.5%
始發(시발)카드,BC 바로카드,"배달앱 최대 1,800원","편의점 최대 1,800원",실적/한도없이 0.7%
Oil & Life카드(Life카드),IBK기업은행,전국 음식점 10%,커피전문점 10%,GS칼텍스(LPG포함) 60원/L
로얄블루1000카드 [SKYPASS],우리카드,기프트바우처 100만원상당,해외/면세점/항공사 2마일리지,본인 및 동반1인 PP카드
디지로카 Edu,롯데카드,"학원, 유치원 최대 7%",국내 가맹점 2~3개월,
메리어트 본보이™ 더 베스트 신한카드,신한카드,메리어트 참여호텔 무료숙박권,메리어트 참여호텔 이용시 5P/1천원,메리어트 본보이™ 멤버십 골드엘리트
신한카드 구독 좋아요,신한카드,디지털구독 100%,정기결제 자동이체 1천원,생활 서비스 10%
